"Forecast_Step","Window_Size","Time_Sec","Peak_RAM_MB"
1,250,1.75169110298157,62348870
2,251,1.54291915893555,62713446
3,252,1.42236590385437,62477866
4,253,0.861248016357422,62546358
5,254,928.129276037216,62881890
6,255,0.989917993545532,62601309
7,256,0.907351970672607,62723855
8,257,0.867271900177002,62833561
9,258,0.865408182144165,62832071
10,259,0.953087091445923,62942888
11,260,0.885957956314087,63004263
12,261,0.859279155731201,63197180
13,262,0.889663934707642,63209655
14,263,1.1146399974823,63320623
15,264,1.07331109046936,63301680
16,265,0.928667068481445,63358090
17,266,2.37904286384583,63586022
18,267,2.58840107917786,63552801
19,268,3.0724880695343,63563820
20,269,1.86891794204712,63577882
21,270,1.74507308006287,63660633
22,271,1.54106688499451,64276430
23,272,1.58313417434692,63809754
24,273,1.78397798538208,63958387
25,274,1.34457206726074,63870967
26,275,1.37503099441528,64059333
27,276,1.33309984207153,64196411
28,277,1.36606502532959,64539331
29,278,1.34359097480774,64781980
30,279,1.33677816390991,64316783
31,280,1.35793399810791,64705591
32,281,1.37079215049744,64911822
33,282,1.3261411190033,64428287
34,283,1.33806800842285,64615501
35,284,1.33868193626404,64810385
36,285,1.82246685028076,64722926
37,286,1.30110001564026,65123310
38,287,0.979461908340454,64833756
39,288,1070.63831806183,64745813
40,289,0.932308912277222,64806409
41,290,1.06308388710022,65078530
42,291,1.05529689788818,64936081
43,292,0.907718896865845,65195320
44,293,0.909883975982666,65083872
45,294,0.930701971054077,65336784
46,295,0.869871139526367,65265764
47,296,1.36141681671143,65357923
48,297,1.38860511779785,65338241
49,298,1.26199197769165,65453914
50,299,1.0027289390564,65468764
51,300,0.935241937637329,65411773
52,301,2.23470187187195,65732435
53,302,0.94110107421875,65368935
54,303,0.934193849563599,65421141
55,304,0.997075080871582,65729583
56,305,0.998186111450195,65675443
57,306,0.956146001815796,65809406
58,307,1.0073390007019,65971410
59,308,1.01333808898926,66157725
60,309,0.903712034225464,66432318
61,310,0.906141042709351,66686543
62,311,0.91200590133667,66615761
63,312,0.990319013595581,66859378
64,313,1.35792684555054,66699496
65,314,0.915117025375366,66769956
66,315,0.912253141403198,66914443
67,316,0.909792900085449,67131560
68,317,0.896167993545532,67043688
69,318,0.89534592628479,67120266
70,319,0.917109966278076,67110234
71,320,0.905200004577637,67246712
72,321,0.897058963775635,67466384
73,322,0.896573066711426,67369098
74,323,0.900859832763672,67297168
75,324,0.895565986633301,67307363
