"Forecast_Step","Window_Size","Time_Sec","Peak_RAM_MB"
1,400,1.17953300476074,72726282
2,401,1.15106201171875,71928337
3,402,1.15701293945312,72235192
4,403,1.09698820114136,72236133
5,404,1.200599193573,72098049
6,405,1.05347108840942,72441776
7,406,1.03273582458496,72073842
8,407,1.08770608901978,72267843
9,408,1.1709988117218,71917600
10,409,1.03597116470337,71965448
11,410,1.03470897674561,72210950
12,411,1.06861686706543,72300747
13,412,1.02668190002441,72638975
14,413,1.15338802337646,72341710
15,414,1.0421359539032,72256817
16,415,1.12952303886414,72634829
17,416,1.01374816894531,72167057
18,417,1.07559299468994,72413797
19,418,1.13319396972656,72603887
20,419,1.0412859916687,72487765
21,420,1.1846559047699,72337618
22,421,1.03438210487366,73324858
23,422,2.3009729385376,72668535
24,423,1.83154082298279,64276492
25,424,1.14903903007507,72910099
26,425,1.17516613006592,73066309
27,426,1.09734892845154,73910277
28,427,1.04510116577148,73689946
29,428,1.04567313194275,73298155
30,429,1.09332203865051,73143811
31,430,1.0642819404602,73132389
32,431,1.03829908370972,73671619
33,432,1.04089784622192,73308531
34,433,1.03253984451294,73430489
35,434,1.12244987487793,73586893
36,435,1.02693700790405,73614819
37,436,1.03636598587036,73108693
38,437,1.01628804206848,73146335
39,438,1.14263081550598,73410362
40,439,1.04319596290588,73492251
41,440,1.05340385437012,73473121
42,441,1.13381409645081,73680445
43,442,1.03134799003601,73871223
44,443,1.18656897544861,73483631
45,444,1.15839695930481,73930483
46,445,1.13250494003296,73479966
47,446,1.0826940536499,73622957
48,447,1.13347101211548,73599259
49,448,1.08658790588379,73535662
50,449,1.01352214813232,73628653
51,450,1.01145386695862,73772464
52,451,1.03866815567017,73869567
53,452,1.08832502365112,73755401
54,453,1.04127883911133,74058278
55,454,1.04419493675232,74729906
56,455,1.03333711624146,74255656
57,456,1.12408304214478,74081709
58,457,1.0370090007782,74636791
59,458,1.12984108924866,74470882
60,459,1.05906009674072,74302645
61,460,1.10514998435974,74124606
62,461,1.05414295196533,74623517
63,462,1.17664408683777,74790395
64,463,1.04205298423767,74473060
65,464,1.07604908943176,74981108
66,465,1.09965205192566,75211283
67,466,1.06714677810669,75558639
68,467,1.05695700645447,75660293
69,468,1.04379391670227,75547364
70,469,1.12447881698608,75838458
71,470,1.05717587471008,75262685
72,471,1.04683899879456,74951277
73,472,1.0789999961853,75073045
74,473,1.05659985542297,75181515
75,474,1.22130799293518,75141666
76,475,1.21620297431946,75413214
77,476,1.1476149559021,75342538
78,477,1.05336213111877,75803133
79,478,1.12218594551086,75402850
80,479,1.05279088020325,75547088
81,480,1.07283306121826,75552547
82,481,1.05438494682312,75809282
83,482,1.12687492370605,75737656
84,483,1.17467999458313,75156767
85,484,1.11269783973694,75864319
86,485,1.05387496948242,76024891
87,486,1.06061196327209,75654182
88,487,1.03902697563171,75991469
89,488,1.10409998893738,76464482
90,489,1.05347013473511,75887161
91,490,1.06768894195557,75810251
92,491,1.16883707046509,76153018
93,492,1.1058030128479,77221119
94,493,1.08110094070435,77003555
95,494,1.06702613830566,77048925
96,495,1.16901397705078,77066175
97,496,1.11546206474304,76598076
98,497,1.08062195777893,77076115
99,498,1.06768298149109,77070472
100,499,1.11900591850281,77116586
101,500,1.10304117202759,77025475
102,501,1.09840202331543,77412509
103,502,1.09669589996338,77411273
