"Forecast_Step","Window_Size","Time_Sec","Peak_RAM_MB"
1,250,0.52792501449585,62261525
2,251,0.525803089141846,62322178
3,252,0.522197961807251,62378746
4,253,0.604317903518677,62507525
5,254,0.535974979400635,62487238
6,255,0.526371002197266,62489833
7,256,0.534859895706177,62637410
8,257,0.541210174560547,62747754
9,258,0.530554056167603,62746879
10,259,0.538167953491211,62856795
11,260,0.522141933441162,62905242
12,261,0.527453899383545,63099524
13,262,0.528994083404541,63173755
14,263,0.539001941680908,63298298
15,264,0.531789064407349,63216217
16,265,0.533272981643677,63260092
17,266,0.532972812652588,63512890
18,267,0.534934997558594,63480175
19,268,0.528538942337036,63517420
20,269,0.530608892440796,63505746
21,270,0.536468029022217,63588863
22,271,0.532663106918335,63810534
23,272,0.542831182479858,63738031
24,273,0.543324947357178,63886574
25,274,0.536574840545654,63865777
26,275,0.532598972320557,63949225
27,276,0.531492948532104,64033848
28,277,0.59139895439148,64201825
29,278,0.63896107673645,64671205
30,279,0.542547941207886,64286595
31,280,0.555801153182983,64256598
32,281,0.5395188331604,64447111
33,282,0.538646936416626,64385078
34,283,0.555912017822266,64491659
35,284,0.539459943771362,64369529
36,285,0.545610904693604,64239817
37,286,0.537194013595581,64652653
38,287,0.637118101119995,64641340
39,288,0.540112018585205,64650562
40,289,0.541003227233887,64642420
41,290,0.541364908218384,65052326
42,291,0.543347120285034,64826556
43,292,0.544222831726074,65070996
44,293,0.539918899536133,65057962
45,294,0.542859077453613,65098645
46,295,0.547010898590088,65226334
47,296,0.540680885314941,65304648
48,297,0.542908191680908,65314344
49,298,0.544939994812012,65288091
50,299,0.553467035293579,65444772
51,300,0.543143033981323,65389602
52,301,0.560537099838257,65709841
53,302,0.53990912437439,65346568
54,303,0.544664859771729,65398297
55,304,0.54786491394043,65650461
56,305,0.545303821563721,65669498
57,306,0.547515869140625,65714377
58,307,0.553055047988892,65892743
59,308,0.553604125976562,66079721
60,309,0.553092956542969,65959537
61,310,0.551942110061646,66048377
62,311,0.552926063537598,66021124
63,312,0.546544075012207,66279515
64,313,0.547078132629395,66252379
65,314,0.55483603477478,66321660
66,315,0.583770036697388,66844495
67,316,0.556339979171753,66605588
68,317,0.557208061218262,66516213
69,318,0.55790901184082,66667552
70,319,0.550920963287354,66547918
71,320,0.559199094772339,66760289
72,321,0.558657884597778,67071095
73,322,0.599328994750977,67262128
74,323,0.562670946121216,67188952
75,324,0.559437990188599,67198949
76,325,0.565479040145874,67677887
77,326,0.564819097518921,67520229
78,327,0.564395189285278,67563226
79,328,0.557729959487915,67364070
80,329,0.672772884368896,67847895
81,330,0.567996025085449,67613682
82,331,0.572016954421997,68003338
83,332,0.564103841781616,67818117
84,333,0.57124400138855,67966267
85,334,0.576092004776001,68149027
86,335,0.578018188476562,68034713
87,336,0.565337896347046,68107770
88,337,0.572382926940918,68214196
89,338,0.577100992202759,68260951
90,339,0.574397087097168,68222234
91,340,0.569577932357788,68457097
92,341,0.574850797653198,68390926
93,342,0.575607061386108,68530241
94,343,0.58952808380127,68485184
95,344,0.577563047409058,68796336
96,345,0.571577072143555,68717372
97,346,0.574115037918091,68690177
98,347,0.578747034072876,68725857
99,348,0.569478034973145,68783152
100,349,0.573667049407959,68913073
