"Forecast_Step","Window_Size","Time_Sec","Peak_RAM_MB"
1,300,0.621463775634766,65388424
2,301,0.564038038253784,65709178
3,302,0.550142049789429,65345341
4,303,0.54672384262085,65397757
5,304,0.569298982620239,65649167
6,305,0.552824974060059,65668324
7,306,0.548269987106323,65713494
8,307,0.56292200088501,65891580
9,308,0.550390958786011,66078556
10,309,0.557291984558105,65958371
11,310,0.557804107666016,66047194
12,311,0.545984983444214,66019828
13,312,0.549324035644531,66278314
14,313,0.549668073654175,66251230
15,314,0.549259901046753,66320486
16,315,0.583981990814209,66843336
17,316,0.553486108779907,66604834
18,317,0.55387282371521,66515009
19,318,0.555513858795166,66667489
20,319,0.554607152938843,66547305
21,320,0.553431987762451,66759197
22,321,0.57241702079773,67069845
23,322,0.56665301322937,67260973
24,323,0.558284997940063,67187775
25,324,0.55702805519104,67197711
26,325,0.568849086761475,67676677
27,326,0.573052167892456,67519017
28,327,0.562934875488281,67562130
29,328,0.560867071151733,67363186
30,329,0.568070888519287,67846743
31,330,0.562786817550659,67612487
32,331,0.574152946472168,68002042
33,332,0.584174871444702,67817513
34,333,0.574284076690674,67965866
35,334,0.571425199508667,68147849
36,335,0.673807859420776,68033732
37,336,0.566920042037964,68106602
38,337,0.571352958679199,68213306
39,338,0.576593160629272,68259776
40,339,0.57690691947937,68221066
41,340,0.57209300994873,68455947
42,341,0.5732581615448,68390148
43,342,0.602157115936279,68529023
44,343,0.572168827056885,68484043
45,344,0.575783014297485,68795153
46,345,0.588255167007446,68716497
47,346,0.574161052703857,68689271
48,347,0.576227188110352,68725660
49,348,0.572409868240356,68781973
50,349,0.586932897567749,68912527
51,350,0.576725959777832,68780718
52,351,0.579600095748901,68777891
53,352,0.572532176971436,68678369
54,353,0.603806972503662,69183360
55,354,0.584350824356079,69279122
56,355,0.588815927505493,69264286
57,356,0.591853141784668,70147873
58,357,0.584073781967163,69392040
59,358,0.576992034912109,69165990
60,359,0.582872152328491,69398976
61,360,0.577782869338989,69411103
62,361,0.580034971237183,69632963
63,362,0.582406997680664,69565835
64,363,0.594558000564575,69670458
65,364,0.588711977005005,69826302
66,365,1.26197600364685,69698334
67,366,0.852707862854004,69886326
68,367,0.789693117141724,69767651
69,368,0.943712949752808,69823159
70,369,0.763275146484375,69933931
71,370,0.734667062759399,70300992
72,371,0.640114068984985,70085559
73,372,0.978633165359497,70151110
74,373,0.608687877655029,69922939
75,374,0.594763994216919,70253952
76,375,0.591284990310669,70107962
77,376,0.582238912582397,70063928
78,377,0.687247037887573,70203517
79,378,0.583782911300659,70153376
80,379,0.600172996520996,70222116
81,380,0.589503049850464,70617650
82,381,0.591851949691772,70128560
83,382,0.591349840164185,70420581
84,383,0.597784042358398,70399491
85,384,0.581248998641968,70312166
86,385,0.58136510848999,70233865
87,386,0.588029146194458,70539211
88,387,0.590842962265015,70689848
89,388,0.597764015197754,70468124
90,389,0.591409921646118,70376495
91,390,0.589009046554565,70727617
92,391,0.609522104263306,71000927
93,392,0.588263034820557,70878135
94,393,0.594610929489136,71002531
95,394,0.595702886581421,71053942
96,395,0.600157976150513,71366188
97,396,0.601894855499268,71480033
98,397,0.599332809448242,71619483
99,398,0.598120927810669,71658764
100,399,0.599555015563965,71696973
101,400,0.652744054794312,72350577
102,401,0.604470014572144,71844172
103,402,0.600974082946777,71918125
104,403,0.612679958343506,72092987
105,404,0.601080179214478,71994129
106,405,0.611745834350586,72004941
107,406,0.601561069488525,72049755
108,407,0.603607892990112,72185107
109,408,0.609270095825195,71932649
110,409,0.614331960678101,72118478
111,410,0.604979991912842,72403647
112,411,0.605734825134277,72337281
113,412,0.635411977767944,72794270
114,413,0.611678838729858,72537375
115,414,0.646211862564087,72313420
116,415,0.61378288269043,72672478
117,416,0.601824998855591,72204923
118,417,0.60885500907898,72551032
119,418,0.609795093536377,72680539
120,419,0.711315870285034,72625696
121,420,0.606484889984131,72455914
122,421,0.619830846786499,73523841
123,422,0.610804080963135,72894779
124,423,0.618616819381714,73146053
125,424,0.61571192741394,73110662
126,425,0.625778913497925,73309247
127,426,0.915175914764404,73814091
128,427,0.633892059326172,73871738
129,428,0.618384122848511,73584953
130,429,0.649160861968994,73411503
131,430,0.616513013839722,73362296
132,431,0.627339839935303,73652527
133,432,0.621444940567017,73393807
134,433,0.651298999786377,73662314
135,434,0.616907119750977,73569708
136,435,0.610185861587524,73618735
137,436,0.608517169952393,73091179
138,437,0.621654033660889,73256035
139,438,0.612255811691284,73541225
140,439,0.616200923919678,73645477
141,440,0.611132860183716,73648048
142,441,0.612060070037842,73856630
143,442,0.614196062088013,74047304
144,443,0.730939865112305,73810314
145,444,0.622395992279053,74129949
146,445,0.60796594619751,73507983
147,446,0.607020139694214,73586528
148,447,0.624138116836548,73562761
149,448,0.609879970550537,73498873
150,449,0.630109071731567,73744673
151,450,0.613075971603394,73780294
152,451,0.615416049957275,73921474
153,452,0.608398914337158,73785729
154,453,0.615455150604248,74111695
155,454,0.622113943099976,74232785
156,455,0.616137981414795,74331127
157,456,0.616600036621094,74157881
158,457,0.621645927429199,74602494
159,458,0.610466957092285,74370661
160,459,0.618746995925903,74180377
161,460,0.61536979675293,74135413
162,461,0.723679065704346,74524231
163,462,0.616029977798462,74691500
164,463,0.621071100234985,74686652
165,464,0.622056007385254,75037666
166,465,0.626365900039673,75291240
167,466,0.628465890884399,75480840
168,467,0.621337175369263,75515161
169,468,0.623857975006104,75447925
170,469,0.618694067001343,75193204
171,470,0.615885019302368,75027897
172,471,0.619863033294678,74852642
173,472,0.621164083480835,75110156
174,473,0.624465942382812,75082890
175,474,0.625553131103516,75133982
176,475,0.646240949630737,75405515
177,476,0.617959022521973,75334808
178,477,0.627215147018433,75796233
179,478,0.622979164123535,75372640
180,479,0.626079082489014,75563288
181,480,0.621562957763672,75430177
182,481,0.633655071258545,75780255
183,482,0.630856990814209,75754846
184,483,0.61910605430603,75313967
185,484,0.657477855682373,75882218
186,485,0.627697944641113,75431153
187,486,0.627335071563721,75672827
188,487,0.630084037780762,75987001
189,488,0.625326871871948,75773932
190,489,0.636722087860107,75789137
191,490,0.622803926467896,75854251
192,491,0.631457090377808,76078706
193,492,0.629710912704468,76525954
194,493,0.62877893447876,76307749
195,494,0.636127948760986,76951154
196,495,0.638414144515991,77064122
197,496,0.627187967300415,76500703
198,497,0.63314700126648,76953720
199,498,0.638926982879639,77212161
200,499,0.634177923202515,77163323
201,500,0.639143943786621,77167284
202,501,0.656543016433716,77411820
203,502,0.655570030212402,77411209
