"Forecast_Step","Window_Size","Time_Sec","Peak_RAM_MB"
1,300,0.659632921218872,65397247
2,301,0.623710870742798,65717530
3,302,0.625983953475952,65354721
4,303,0.601751089096069,65406551
5,304,0.59423017501831,65658628
6,305,0.60175895690918,65677641
7,306,0.595767021179199,65721740
8,307,0.600791931152344,65900930
9,308,0.603947877883911,66087872
10,309,0.598748922348022,65967339
11,310,0.642395973205566,66056580
12,311,0.61086106300354,66029253
13,312,0.598488092422485,66287628
14,313,0.597836971282959,66260194
15,314,0.598944902420044,66329863
16,315,0.796894073486328,66852663
17,316,0.620296955108643,66613034
18,317,0.603979825973511,66524412
19,318,0.603898048400879,66675757
20,319,0.603331089019775,66555607
21,320,0.686110973358154,66767606
22,321,0.609647989273071,67079248
23,322,0.616733074188232,67269873
24,323,0.620457887649536,67196843
25,324,0.612123012542725,67207104
26,325,0.729791164398193,67686034
27,326,0.617511034011841,67528447
28,327,0.616950988769531,67570359
29,328,0.67621898651123,67371470
30,329,0.715872049331665,67855655
31,330,0.704077005386353,67621828
32,331,0.717243909835815,68011523
33,332,0.621756076812744,67825755
34,333,0.620504856109619,67974560
35,334,0.620120048522949,68157192
36,335,0.620934963226318,68041986
37,336,0.620809078216553,68115951
38,337,0.620977163314819,68221635
39,338,0.62200403213501,68268255
40,339,0.632894992828369,68229788
41,340,0.622621059417725,68465017
42,341,0.624368906021118,68398341
43,342,0.627252101898193,68538443
44,343,0.624564170837402,68492892
45,344,0.624583005905151,68804267
46,345,0.695343971252441,68724748
47,346,0.627272129058838,68697488
48,347,0.626774072647095,68734104
49,348,0.62407398223877,68791346
50,349,0.625577926635742,68921328
51,350,0.627104997634888,68790027
52,351,0.628773927688599,68786138
53,352,0.6233069896698,68686613
54,353,0.639075040817261,69192133
55,354,0.629335165023804,69288103
56,355,0.630511999130249,69273705
57,356,0.637893915176392,70156184
58,357,0.631882905960083,69401038
59,358,0.627500057220459,69174862
60,359,0.631616830825806,69407211
61,360,0.629465103149414,69419893
62,361,0.631797075271606,69642304
63,362,0.630242824554443,69574182
64,363,0.635008096694946,69679295
65,364,0.659482002258301,69834706
66,365,0.64952802658081,69707616
67,366,0.637676000595093,69895179
68,367,0.742239952087402,69776945
69,368,0.631262063980103,69833609
70,369,0.619233846664429,69943262
71,370,0.629986047744751,70309260
72,371,0.636021137237549,70094090
73,372,0.639034986495972,70159717
74,373,0.637457847595215,69931127
75,374,0.63489294052124,70263322
76,375,0.63726019859314,70116185
77,376,0.669535875320435,70073237
78,377,0.642129898071289,70211945
79,378,0.646785020828247,70162117
80,379,0.672280073165894,70231269
81,380,0.64134693145752,70627096
82,381,0.647922992706299,70138019
83,382,0.641273021697998,70430050
84,383,0.642527103424072,70408967
85,384,0.645391941070557,70320373
86,385,0.635722160339355,70243221
87,386,0.641488790512085,70547806
88,387,0.642462968826294,70699109
89,388,0.637156009674072,70477273
90,389,0.678714036941528,70384707
91,390,0.641978979110718,70736380
92,391,0.648545980453491,71010393
93,392,0.643235921859741,70887530
94,393,0.651762008666992,71011954
95,394,0.645235061645508,71062264
96,395,0.685688972473145,71375647
97,396,0.953932046890259,71489457
98,397,0.730915784835815,71628947
99,398,0.686543941497803,71667056
100,399,0.676137924194336,71705747
101,400,0.656898975372314,72359129
102,401,0.678839921951294,71853031
103,402,0.652944803237915,71926399
104,403,0.665603160858154,72101852
105,404,0.651954889297485,72003514
106,405,0.655041933059692,72013187
107,406,0.65349292755127,72058114
108,407,0.657721996307373,72193368
109,408,0.652753829956055,71940874
110,409,0.766623020172119,72127268
111,410,0.657292127609253,72413114
112,411,0.657012939453125,72346059
113,412,0.661029100418091,72803588
114,413,0.662052869796753,72546200
115,414,0.632881164550781,72322914
116,415,0.663039922714233,72680674
117,416,0.655022859573364,72214249
118,417,0.65907096862793,72559948
119,418,0.661432981491089,72689862
120,419,0.660562038421631,72634511
121,420,0.663623094558716,72464538
122,421,0.678022861480713,73532933
123,422,0.665761947631836,72904189
124,423,0.677391052246094,73155043
125,424,0.666296005249023,73119891
126,425,0.669648885726929,73317835
127,426,0.673959016799927,73822582
128,427,0.674616098403931,73880661
129,428,0.671379089355469,73594352
130,429,0.681824922561646,73420855
131,430,0.673711061477661,73370494
132,431,0.666912078857422,73661272
133,432,0.665313005447388,73403159
134,433,0.666182041168213,73671207
135,434,0.665127038955688,73578012
136,435,0.667053937911987,73628119
137,436,0.668908834457397,73100586
138,437,0.660398006439209,73264259
139,438,0.663241863250732,73550599
140,439,0.706946849822998,73653900
141,440,0.668431997299194,73657431
142,441,0.667787075042725,73865511
143,442,0.669641971588135,74056195
144,443,0.705335140228271,73818808
145,444,0.674075841903687,74139301
146,445,0.677577018737793,73517305
147,446,0.665089845657349,73595923
148,447,0.66700005531311,73571590
149,448,0.663877964019775,73508260
150,449,0.665631055831909,73753961
151,450,0.666759014129639,73788544
152,451,0.776938199996948,73930402
153,452,0.663784980773926,73794201
154,453,0.668714046478271,74120099
155,454,0.667494058609009,74241558
156,455,0.674973964691162,74340533
157,456,0.671858072280884,74166775
158,457,0.678699016571045,74611918
159,458,0.685478210449219,74380167
160,459,0.687755107879639,74189179
161,460,0.667115926742554,74144226
162,461,0.673670053482056,74533618
163,462,0.67392110824585,74700365
164,463,0.67371392250061,74696013
165,464,0.680052995681763,75047027
166,465,0.691092014312744,75300618
167,466,0.678445100784302,75490295
