"Date","Algeria","Iran","Libya","Nigeria","Saudi Arabia","UAE"
1983-02-01,-0.0724517918197903,-0.0360399364831969,-0.0726803079422483,-0.0745941761258621,-0.0432369150161065,-0.0612426247359639
1983-03-01,-0.0376593265966338,-0.0354845819255342,-0.0243467805282928,-0.0355169422905619,-0.0331329348524335,-0.033845800992721
1983-04-01,0.0469576303053342,0.0258233835814601,0.047144386947972,0.0431473311562536,0.018898310862947,0.0168605431377983
1983-05-01,0.00560469978552132,0.00303378086103088,0.0117895812101844,0.00539084863487637,-0.00516328247279449,-0.00991607078498719
1983-06-01,0.0147830945654972,0.00618695352055575,0.0049568514448996,0.0121901818459279,0.00863695555023482,0.0034542348680876
1983-07-01,0.0155422351494151,0.0086634431429196,0.0231902265941754,0.0177013242042297,0.00473942734136019,0.00772867737165807
1983-08-01,0.00291781695096162,0.00453927243341935,0.00455430203947977,0.012219979299969,-0.00224583319756077,0.00324536966031856
1983-09-01,-0.011886486933722,-0.0118452410039699,-0.0141964805963488,-0.017123873003449,-0.00903411286750612,-0.00708506720236288
1983-10-01,-0.0358521098991727,-0.000440060148654138,-0.0126958963027401,-0.019458570867532,-0.00262123347987419,0.000858354415716204
1983-11-01,-0.0136754267996754,-0.00489034489963994,-0.0220470521411329,-0.0207654967212358,-0.0100238243673986,-0.0054372273392679
1983-12-01,0.00171969087952668,-0.00387776314556836,-0.00383877630716571,-0.0184218001148547,-0.000954856578835301,-0.0153694043841529
1984-01-01,0.0150071029257869,-0.000185030993219114,0.00800979382450382,0.0187629224105044,0.0129015903753831,0.00461474738689503
1984-02-01,0.0079238381381301,0.00203346035500149,0.00932166252713609,0.0128771687902032,-0.00497217313454711,0.00191654383954097
1984-03-01,0.0083612527246834,-0.00184842936178232,0.0200047495808495,0.0117156151725628,0,-0.000417841852940252
1984-04-01,0.00083229301516937,0.00553506948200129,0.00292619148306725,0.0020943112220877,-0.00351642531273999,0.00649161323650739
1984-05-01,-0.00500418058457595,-0.0395961285990428,-0.00724701916136281,-0.00609565033869668,0.000422624504423819,0.00724016263914538
1984-06-01,-0.0185659341225352,-0.061460058751839,-0.0277843288366415,-0.0204209273250684,-0.0128284122208162,-0.0102550835720605
1984-07-01,-0.0603904073387804,-0.00256812810570999,-0.0448154650662052,-0.042670818199839,-0.0222880588121758,-0.0365103368592736
1984-08-01,0.00613388176126622,0.0360760564738096,0.00851223105927656,0.0106195688274601,0.012431524829649,-0.00378685873149713
1984-09-01,0.00316046808107386,0.0376674177717398,0.000468780997712508,0.00263736416608567,0.00269779484139131,0.00988772100640761
1984-10-01,0.000430200049654749,0.00774246148886863,-0.00426316625299731,-0.0114791547475465,-0.00280585816660506,-0.00538117890451671
1984-11-01,-0.0171716826660259,-0.0134458990027383,-0.00617398002560645,-0.012511333889108,0.00233876152300469,0.00316046808107386
1984-12-01,-0.00273847729330369,-0.00236695536940272,0,-0.0176732413721913,-0.00583911693649463,-0.00719738244462203
1985-01-01,-0.0391475896842713,-0.00856002002466044,-0.0194966631790124,-0.00819812322739633,0.00709618812654573,0.0087022736240423
1985-02-01,0.0554670815128725,0.0156820960990735,0.0469133598507564,0.0290318326806615,-0.00575955515836688,-0.00689806572294202
1985-03-01,0.00852471224975262,-0.0176887341112902,-0.00668589566905984,0.00536424416867889,0.00137090104085051,-0.00361167685285037
1985-04-01,-0.0110458733186574,-0.0186367435440085,-0.0131096427216114,-0.00207076370900903,-0.00462528829208036,-0.00173824915209831
1985-05-01,-0.0416036438400333,-0.0257921936889435,-0.0475707344403816,-0.0412241482824614,-0.0237124701242759,-0.0276345945504286
1985-06-01,0,0.00250060628810695,-0.0138201787330974,-0.00698898440309349,-0.00699693948397469,-0.00141690616195509
1985-07-01,0.0175148878385564,-0.00545290657414804,0.00868855101275505,0.0114483005998582,0.0105880064088295,0.00186393343806273
1985-08-01,0.0135028102777633,0.0386519624805752,0.0253244771693679,0.029879135678996,0.0129607306891018,0.0161812241614708
1985-09-01,0.0207397742382534,0.014007348663369,0.0124440798639969,0.0107381660354968,0.00636354213730115,0.00911982390583598
1985-10-01,0.0287478235080842,0.00172761344437781,0.0406311506226434,0.0274605548087127,0.00945207080424817,0.00224890370092369
1985-11-01,0.0339304563336689,-0.0142942360442363,0.0297845613575275,0.0346540683715884,0.00315480293206593,0.00768776456985069
1985-12-01,-0.0811609633114542,-0.0113481945691014,-0.0919298948955012,-0.0924035409371791,-0.00243692781150226,-0.0113175326204293
1986-01-01,-0.200670695462151,-0.0792067722377461,-0.206780225997559,-0.197109256948334,-0.15836958964951,-0.133012046988336
1986-02-01,-0.23712979328895,-0.289458587397598,-0.229642862971157,-0.251474057940436,-0.404435707065592,-0.393081048908443
1986-03-01,-0.219628609206765,-0.323852345728743,-0.249997608830279,-0.202313167463609,-0.190226736301068,-0.286656957036536
1986-04-01,-0.118309489998629,-0.267411195770072,-0.155641548534264,-0.128428394448619,-0.149716082759392,-0.0935903480876722
1986-05-01,0.10239403469273,0.155148566737958,0.0902336241251385,0.14240193279271,0.110876249443129,0.0926062574719241
1986-06-01,-0.125163142954006,-0.127777369941826,-0.181478969524404,-0.175917352130527,-0.160773220587752,-0.124337534841302
1986-07-01,-0.235338824408028,-0.277071893339765,-0.190362955668948,-0.207792102604064,-0.234839591077401,-0.245504498027926
1986-08-01,0.32973030869528,0.428762406580198,0.31245907678869,0.348402532493365,0.433537941053016,0.404118199850821
1986-09-01,0.0445796316330885,0.115278517613807,0.1094029668424,0.0140601110049829,0.0437917282847921,0.0957209269736024
