"Algeria","Iran","Libya","Nigeria","Saudi.Arabia","UAE"
-6.81084202825189,-5.13820286103403,-6.48296036815685,-6.37010129315363,-4.95699209721144,-7.31621604379794
-4.43821350219444,-6.2789305097885,-4.5212601690844,-4.8743756904028,-4.72197410068847,-5.45559652900169
-6.72299342826363,-8.20593872961939,-6.8734889809778,-7.27436659994401,-9.12527298541874,-10.726611433825
-7.96585531300476,-7.22884647678276,-7.20972965170388,-6.227691722999,-8.29102806240471,-10.7518855167855
-5.57251664653884,-3.69632382883635,-4.64654591061121,-5.51649689307218,-3.20404102738798,-4.97000769462671
-5.66934508137856,-4.65949240174661,-4.19183105343265,-3.13554986653295,-4.19315231738457,-4.67930424603696
-3.15283791036847,-3.05837853403647,-2.94703873280528,-3.3264041071522,-4.43855599085457,-3.68018924573144
-7.734670387853,-8.53745629244989,-7.93773389620191,-8.89346438441608,-9.59995090699576,-7.66135243365219
-10.8548119913415,-6.68054006586794,-10.5299460221582,-10.3154071796086,-6.58882530120167,-9.83393521395571
-5.86889670594322,-5.29811410478176,-4.76454058266928,-4.46957730104883,-5.44849121382665,-5.0533937949958
-8.98678285290453,-7.47429166957851,-7.48529754064071,-6.70577605313806,-7.36537651148889,-7.50865562546822
-5.54276278768485,-5.20209882608677,-6.0959977059863,-5.88212146519943,-5.92771223307597,-5.6774564740101
-3.93157147869624,-4.20536020973761,-4.00945052068579,-4.40065895951856,-4.41860187438702,-4.64629288963338
-5.48061718571545,-6.46736699352779,-5.33538738736949,-6.14226988951315,-5.92749399929945,-6.66596849187095
-4.87165864284715,-4.94996623007185,-4.19277793459904,-5.13743361340012,-5.3463690856838,-5.47032024379678
-4.15021499724978,-4.36276455104484,-4.01531917466295,-4.43071588593156,-4.70316823602077,-4.14100919153724
-6.54192092044147,-5.84108892158267,-6.34227727500025,-6.18188044183465,-6.03158371405934,-4.85715064989378
-3.69295366467154,-4.56546637095966,-4.13241311200814,-4.38346738746987,-4.0545096121763,-3.4234146638865
-6.26668897711853,-7.11312165775044,-5.96776693332255,-7.36911655669139,-6.69727057854841,-7.36592776182989
-4.00279768983499,-3.5132125335549,-4.3084031252552,-4.15299587422201,-4.71837176574009,-4.50986583240715
-5.02085088352908,-4.80623100140078,-5.24375503768757,-4.44563719144362,-4.51109891813604,-5.37455135623031
-7.62352745028894,-11.6171373954066,-8.55877960900424,-7.87326327323392,-9.22770297288675,-9.01885320150908
-4.17750961589307,-4.83460035177722,-3.9321921523413,-4.04974610591673,-3.95144723408288,-4.16861278881311
-4.13163786697695,-4.07521682754774,-4.47719895544914,-5.00064075580128,-3.84152519753125,-3.72228024393588
-4.63251380758435,-9.59619096030289,-4.99493854271346,-5.49047442034355,-9.98686677758939,-9.06484020293533
-8.19544106646674,-11.0472356821292,-11.1945523379805,-11.1375376435082,-12.6734804143352,-11.6285820619968
-6.48863883971643,-7.60424874422975,-7.12655139743543,-6.57710178691832,-7.98835079196704,-7.95756668590544
-4.34995510912535,-4.92065701082858,-3.8668359832256,-3.95996936220345,-4.0338282392656,-4.78716921400345
-6.69624430012777,-6.02118207986158,-6.68960629805372,-5.60236557874362,-6.54025663135084,-6.47706152977169
-2.22825353027327,-1.98405390010688,-2.60581680170822,-1.76508887897539,-2.02383007144475,-3.38161322985454
-4.3530304223568,-3.72322610362323,-3.72290428290058,-3.32980986919083,-2.74728943668644,-3.10588090636689
-5.01851274592466,-6.72206847374346,-6.50908932248,-6.27949588810836,-7.097059559876,-7.66162329998293
-5.28686692904822,-4.0976099657647,-4.27631947415621,-4.10946407010459,-4.62966240338242,-5.05604745460921
-6.02382615573484,-5.7377666729469,-5.71333146280658,-5.48486706769427,-6.33501309158671,-6.83500848664186
-4.15781342673053,-4.48439998367212,-4.70748100717276,-3.94098273603167,-5.01150599626205,-5.72794886710994
-13.3689459856322,-7.96478022576927,-10.6991435929368,-9.09344751721741,-8.30293401967574,-6.88539332665078
-3.974996224367,-3.17953554105891,-3.6485458155407,-4.09870318764491,-4.0143616668246,-4.35826687571819
-7.3282180943843,-6.03894884194301,-10.541507969213,-9.89396481286535,-6.76452817557502,-6.59849221122939
-4.13743628310316,-4.84644630697853,-4.84656919468423,-5.06203444342524,-3.74472607015418,-4.4672751826025
-5.07515020178408,-6.11446162612416,-3.95350949404085,-5.64198479459666,-6.24532947955684,-5.78596779689106
-6.13521010860339,-5.96202542356054,-5.45237121275538,-5.49709922104982,-7.04529445874609,-7.33239034970591
-5.14306776312295,-5.34015295056424,-4.46268439686618,-6.50528005888807,-5.86095846122156,-5.73812715263011
-4.43755620025143,-4.93348396368312,-5.31821609024064,-5.65723825267408,-5.08734684080942,-5.87337464141848
-5.19052828112179,-6.76561136901398,-4.62662592785381,-6.92818371431208,-8.43930182169533,-9.09318388733283
-3.36787575035332,-3.92346363436311,-4.01414257061093,-3.23697766639846,-3.68374129463937,-3.42653180129939
-1.1402609496545,-1.95429809493944,-0.680565409522192,-1.40639020903658,-1.72964785069938,-0.735395250760145
-0.838625093561522,-0.700216298362377,-1.09764437225946,-1.16414553430124,-3.44328167029121,-1.78883475128255
-2.16267195469892,-7.46439992779934,-2.89353427878004,-1.36534833680106,-1.87405407346617,-4.94624289043195
-2.04202505441152,-3.52035348926184,-2.96542189962576,-6.09067135150795,-3.38549928745124,-2.51834449371876
-6.25652310221692,-6.40555704596705,-5.88821886871547,-5.91384542278895,-3.77454091265081,-5.47992327417469
