"V1","V2","V3","V4","V5","V6"
-4.3233442758513,-1.92329843071793,-3.10144299167028,-2.35761755393341,-2.24692435920242,-2.58332148444525
-3.83407847909167,-6.34276079602998,-4.0908072161441,-3.53844826849712,-6.66659991564974,-4.06945134063907
-5.09796165824191,-5.00328873301125,-5.25281177909463,-6.43748172027379,-3.62185325369926,-5.83350446814739
-3.89698541782433,-11.8937756424386,-4.84567923070969,-4.14644286431099,-11.0319130007991,-6.33159373055501
-4.54948237326024,-4.52628027379875,-4.33256275034495,-5.83009003327573,-7.25069662340096,-5.63550480255006
-4.85160187572255,-7.20169188241594,-3.76050578772241,-4.98001032701464,-7.47592284875379,-6.73797179310542
-3.7880408241547,-6.76610985349566,-6.11992070545367,-4.2708010769318,-6.45551316730914,-5.89884379073547
-7.03817829488896,-5.53709163340799,-5.32911813279457,-11.3914306602891,-7.1385901831608,-9.49796466887881
-7.14068112722256,-7.53411861673631,-6.84366491298666,-9.2365744979359,-6.44362817902145,-7.65020974036019
-3.54086315983896,-3.75794424901779,-3.9291736896434,-5.26137294419897,-5.50332613424364,-3.89706770480674
-10.4456764590728,-7.97663812743795,-7.15487033718795,-6.76197843656533,-7.74263766324702,-8.16332054972722
-12.6033852710904,-12.1388008448908,-9.48885748490745,-10.7137986268656,-12.2240273356051,-8.17235759928046
-6.49839788965666,-5.33277041537236,-4.72097653301706,-6.35246721189401,-7.07690014880706,-6.96476143331462
-5.82733215273327,-4.18891007039093,-4.93842936068748,-4.91119219683542,-5.92559070743282,-4.10732752303814
-4.56175223297657,-4.87820560267811,-4.50804275955801,-4.10970777221705,-3.36899634730237,-4.08680893370752
-8.93989815888818,-7.25083491199776,-8.65390323629681,-7.67274714593186,-9.56843237013747,-12.5180590333586
-4.129541121458,-4.32610119796722,-4.94356553866092,-4.60061773355714,-4.90412694701452,-5.76626520700302
-4.53384853104378,-5.37152393809739,-4.49314969057669,-4.19362811139835,-4.45044222568518,-4.66702012148993
-3.18842248253714,-4.75585690752884,-4.25960887007522,-4.50104135929875,-4.28074867190488,-4.45461661014669
-6.7924613297606,-5.2495187568162,-7.39840642451909,-7.52286255427131,-6.62580301706679,-6.18334950441911
-2.9563649257394,-4.24340587554718,-4.34576918499087,-3.99223626998176,-4.53758311380513,-4.45872100847914
-4.09654409507449,-4.26533234291849,-5.52590097539058,-4.78304088044102,-4.22409636067235,-5.09523496087902
-5.95468060174435,-8.01915491846627,-7.07197578590404,-8.12854373478932,-8.9936771213066,-6.45503855472694
-5.49178717748642,-11.2304696844048,-4.78982399429097,-5.70205313773772,-11.5233662895187,-7.06335357664306
-7.13891595788162,-6.37356287174209,-7.20128031818463,-6.74070686417996,-5.16886136454363,-6.99832532522629
-5.21274858260688,-4.40739333134152,-5.38436071054099,-5.50357481085801,-5.35480227444028,-6.10530151412884
-4.48940018050538,-4.4932017428542,-4.26265429419286,-5.08081560930955,-5.25742854318301,-4.48436920308262
-9.75530814219121,-8.99155972940818,-13.4958022432336,-8.26375401156383,-11.5335365479178,-6.79236754862741
-5.49846961019508,-9.1579464816504,-6.32266285441885,-6.72245582427919,-9.54694635719875,-7.0019150060732
-5.80885659477643,-3.21867493681115,-6.45028240482816,-5.74980142571195,-4.08680488839099,-5.16989035970096
-4.70204343332356,-5.74844914905124,-5.05433204666015,-5.513404902103,-5.34961334956625,-3.87541274544735
-8.76085469489301,-9.62332351049063,-8.81236935930771,-9.8247044273235,-8.47507529062115,-6.92084325118555
-5.86140497189153,-7.13287806847205,-6.80886228910602,-6.32738067650374,-8.25763672758238,-7.14115827728101
-9.88877070966942,-11.5333260469324,-11.9694170008287,-7.60454930064185,-13.403871903266,-9.5097111611877
