"Algeria","Iran","Libya","Nigeria","Saudi.Arabia","UAE"
-6.39523672622225,-7.29676205516218,-6.59655180114092,-7.2860057393299,-6.54286418097419,-7.76341264207179
-4.35597591861038,-4.47709982914187,-4.23027879208445,-4.44312077228122,-4.54031543181343,-4.19715639721926
-5.46300619549052,-5.31168075966251,-5.21609570729318,-5.38866544395882,-4.7466573792793,-4.69725540159567
-4.38969082337358,-3.12697272032277,-3.62093816032673,-3.81618354507364,-3.42579247920025,-3.48924730995995
-5.79888131657329,-5.00949061692366,-4.69628506044434,-4.60716030099881,-4.57628812430622,-4.55376056085809
-10.4707363134244,-8.16320564118229,-10.8012204791121,-8.63477541227898,-6.69084143414984,-6.82167370722046
-2.73892243699683,-3.0601571751815,-3.37429617758332,-3.00766557897175,-3.10146320871309,-2.97531471007195
-2.9634872568004,-3.18395832072982,-3.22294464703673,-3.54061808596946,-3.87641451533712,-2.93914285324832
-3.38832554314232,-1.91022455703838,-2.02257485840335,-2.14542381798558,-1.51353658391891,-1.48242592013872
-1.59320317688205,-2.26659733064058,-1.92441063903423,-3.3248874302423,-2.04013870369826,-4.73500497512561
-4.53274168239502,-3.28291250249598,-2.41417851306219,-3.3190919235914,-3.01568198810906,-3.5040770889874
-5.75370391856555,-6.20166533137212,-5.88015217600925,-6.28746887844213,-6.61469069362811,-4.97941492641556
-11.3651198578254,-15.3891606683227,-10.2586488975467,-9.70670701127116,-9.02500413836951,-7.46074165935507
-4.95799049458706,-4.94900992922473,-4.7922470623416,-5.19971144588152,-3.87646776509751,-5.43553473389389
-5.27570659683533,-5.64042188876918,-5.37972812512889,-5.88258396507849,-5.67742054497587,-4.7848326291675
-4.78151422134804,-5.16109977535515,-5.31886523067153,-4.79830711199305,-4.00543926066655,-3.63870440559904
-3.66027338958336,-3.42855095078424,-3.53642764908316,-3.6108492003971,-3.30744291153711,-4.25790761169393
-6.31398221408139,-5.9142426148678,-6.26847097363347,-6.14099743155847,-5.55726115864989,-5.50374126234137
-4.64547689217534,-4.4618182733516,-4.20614418693247,-4.47134442454364,-4.71868286823745,-4.56181939137481
-4.93533116735288,-5.09655377715414,-4.65985065574063,-5.15608575188868,-5.97485533697788,-5.50719509514355
-5.17075722248717,-4.61395723675084,-4.75079298038155,-4.22817512885176,-4.66256622899024,-4.8298652622073
-5.4809115180188,-5.11904856297468,-5.56739205298963,-5.64599363638388,-5.52373076962071,-5.86057690101885
-6.42705141171625,-6.37940703910743,-6.70364994699134,-6.68184677024913,-6.69316934112063,-6.12906718157629
-6.28268575133257,-7.47199733603905,-6.72279279431467,-7.269363518156,-6.41097541133367,-7.35487837699892
-6.36605096148618,-5.87054346431097,-5.92991731496186,-5.75341907242162,-5.50295199371526,-5.97241934906813
-4.78256466196442,-4.71092556626134,-4.52659919516128,-4.63865367256959,-5.3876586925437,-4.85248205297617
-4.27838845477801,-4.98889801595262,-4.46195695937479,-4.73014273898907,-4.1828470325181,-4.44463522483392
-3.67290003199158,-3.89159840321833,-3.29647629399137,-3.8362072694251,-3.86375719891054,-4.4724477674929
-8.83285283525645,-5.96798712330736,-7.17610060876155,-8.7984139709293,-6.90227567183017,-6.00182773027249
-7.2256823328836,-8.0990809852232,-7.97923500487379,-7.82918729498735,-7.35303572791115,-7.55606436188053
-7.33152103718738,-6.74918257175248,-6.97573412323981,-6.75789943063228,-7.02488896122679,-6.85356801292702
-8.34359366904939,-9.68782399166829,-8.15587551886501,-8.09441443020117,-10.3793709650173,-8.37278459017469
-5.11059759363817,-4.55430674645502,-4.26936534492531,-4.56115075402625,-4.30460155558471,-4.60936465643651
-6.33994375743823,-5.87874882916081,-6.28745679260483,-6.06219271719292,-5.66462613774358,-5.6724268993513
-4.46146129552097,-4.21257593190642,-4.32842055489194,-4.61197645728389,-4.74324019738225,-4.70593306265434
-5.18543889645535,-5.00490691392727,-4.49691976078638,-5.30275751214226,-5.25436470539287,-5.3904737960762
-4.18346004717772,-4.33734125722711,-4.09816444699347,-3.74495130980931,-4.13818442883412,-4.52444991544849
-3.5945081337774,-3.84769540220235,-4.2400485728066,-3.99837389829952,-3.94505441203847,-3.52540853674406
-4.4726147768006,-4.15934236291694,-3.55790793404674,-4.37692161227656,-4.40136036287948,-4.21482759319261
-3.7550558256969,-4.11664888074317,-4.18621104326724,-4.42139774995856,-4.97240218670626,-4.83707788709597
-8.69619451804166,-9.21281909775974,-9.08435655861509,-7.47358204449306,-8.84565287395566,-8.01944787125098
