"Algeria","Iran","Libya","Nigeria","Saudi.Arabia","UAE"
-8.84232479056102,-8.16102074994494,-7.94839057484004,-7.10662270330509,-6.57996040318969,-7.90007244822069
-4.66545569862574,-5.93924024761576,-4.29941444526503,-5.28825890164895,-6.43152961453657,-5.57655466525778
-7.00821260618579,-6.8957318820822,-5.21187460660992,-7.3695709678391,-7.43145332478253,-7.41678757974218
-5.17706440003419,-4.85437512119316,-6.19416680570574,-5.85134383409948,-5.56770670006197,-5.39909839488372
-3.39304415372689,-2.98632568986324,-3.74982559546545,-3.74635340311006,-2.95126005358401,-3.8028771120178
-4.59525605562893,-5.2416891980022,-4.38142535936366,-3.78763885582451,-4.54494268259812,-3.90853326369814
-4.4996145766272,-4.11854649151704,-3.6383746455145,-4.38530241979917,-3.77390791277704,-3.04930489006992
-5.15335869371742,-5.42316275916618,-5.97089720026458,-5.41336846079511,-5.85070554798804,-5.68816421343159
-6.73612759424286,-7.62036806344043,-6.99686355082121,-7.39780407489753,-7.56082090623077,-6.86278240105473
-5.30657796838456,-5.07527823380866,-3.73569937007688,-5.07950735452246,-5.22685340712493,-5.04332450957669
-4.87893530238473,-3.4953104521516,-4.54913071931082,-4.89178782078027,-4.69406857636805,-4.00787270481952
-5.93758781100656,-6.34996102501932,-6.10479483759813,-5.55402346218309,-7.37292554915582,-7.2167865506493
-4.73971511651712,-5.90051131311212,-4.78812194524869,-4.0476474170449,-5.73494805388667,-5.49570193992984
-5.65515065346274,-5.94453195692943,-4.82165862984681,-5.53519186635976,-4.92356403717262,-5.01880051114636
-3.1791328300791,-2.82598393269283,-4.03510539197698,-3.3496203757877,-3.67116436800526,-3.56231283185783
-7.55606567520868,-7.31138386982285,-7.24870097993215,-7.58706542095153,-6.90499690397735,-9.4226947625484
-4.19815153408732,-5.16154994937604,-4.21586647025191,-4.17655014587917,-4.8958171364541,-3.99252683520023
-3.25740785708501,-3.27352648435064,-3.84061632297397,-2.77432432023779,-4.30828761996858,-3.32307814766117
-3.45374351347697,-4.17052329591616,-3.07469649660039,-2.96087533508435,-5.3567030021513,-4.54759530372534
-2.44705655388484,-1.925468817034,-2.51873488726701,-4.21802443048733,-3.07057842187409,-2.3543979957092
-3.31702987839967,-6.5202785636739,-4.78174690328898,-4.03580781931861,-5.32191196783522,-4.59909642291638
-5.15885943378688,-6.29894272470723,-3.67960832183754,-5.10336518067975,-5.28229102250492,-5.84806651887037
