"V1","V2","V3","V4","V5","V6"
-8.49287058791476,-7.86656792911637,-7.5224374127329,-6.46437001804382,-7.64819690673376,-8.53537285304893
-5.68496123804077,-5.12171344787285,-4.64217483594604,-5.05519622968569,-6.02709834967203,-5.66839729678237
-5.67787977375249,-6.64233166275548,-7.67065945250087,-7.63509628383216,-6.29907014018225,-7.40094586359852
-4.73670990856082,-5.63128335851762,-6.24949913369171,-5.59017011536068,-4.8419944910333,-6.20241044531631
-4.02736305098527,-3.7064742396437,-2.48676534675636,-3.7891864266974,-2.95209847802327,-3.81270241181999
-3.93092350527179,-4.62055077281095,-4.00844491322877,-4.27086473702761,-4.3511459590478,-5.15251860107911
-4.50195331497477,-4.6333808450631,-3.44416190376859,-3.89230982903908,-2.85956572677001,-4.20598890225924
-5.38179125707601,-4.93364630249803,-5.95663881895942,-5.60175318777451,-5.83429472915797,-5.69193235610565
-6.65320549913595,-7.236123432143,-7.05581790556816,-7.51359993637236,-6.63984302045126,-8.08333067117198
-5.13437905070817,-4.88810448485456,-4.69084601992807,-4.11313628478212,-5.39296662569422,-5.21051889319295
-3.71566463356753,-4.53726748140939,-4.72049165370175,-4.38211056059074,-4.6554361998361,-4.51702214010283
-5.65749895325622,-6.34338184467153,-6.16272667877391,-5.69648972537493,-7.10225063033104,-7.55558221532462
-4.76627047031706,-4.89768202210804,-5.00433503462058,-4.82007832080573,-5.69108080449064,-5.53722599480684
-5.57543037845194,-5.94466231766965,-5.13094573539756,-5.39705339882585,-4.6779726299794,-5.17327866486862
-3.90405891371316,-2.82623721898352,-3.63342355185347,-3.41461188646152,-3.64446907277888,-3.20457999614725
-7.42765597257934,-8.14591294752002,-8.13028305019916,-6.90015514316658,-6.450139717204,-8.97762609189612
-4.14963203056465,-4.3796959428342,-4.7802056208077,-4.32369273097204,-4.79039484026256,-4.2176750511757
-3.80023871826847,-3.27722162771963,-2.92281986777916,-2.79875667881903,-4.34836743859114,-3.60645017433938
-4.47485632529277,-4.16934108928778,-3.5018198427785,-4.07779282464736,-3.78169239443508,-3.56276608428234
-2.39786391893404,-4.15245349091831,-2.34123038279633,-2.43580261214501,-1.91359399161805,-3.9574888558546
-5.01916979282437,-4.62485237080068,-4.97077100277911,-3.52939757682228,-5.32487214812308,-5.10967798729375
-5.19618031965642,-4.87908183619587,-5.07410947265097,-5.3756912675434,-6.30670107002445,-4.59021791370634
-3.89811891847044,-11.900007864096,-3.829646632067,-6.0786131868698,-10.8053939781444,-5.63408623572203
-4.58453131368366,-6.32271274254334,-6.80116250038147,-5.03599916718888,-5.52380155992532,-3.85675136099505
-3.99352202953235,-6.42413897623451,-4.5492389200912,-5.73869199563622,-7.46988660904777,-6.78420244458732
-5.09656951987059,-6.18382518511683,-5.0468673252888,-4.05394113235244,-5.52859101639754,-7.43682933710295
-7.5722442971771,-5.10406394395613,-8.14663777776533,-9.89328969013601,-7.10650944267748,-8.07869047101857
-9.42073190287469,-7.43744277601869,-6.80790590269318,-8.09359459957066,-6.45311795686859,-6.59394100959086
-3.67745299489291,-5.44135908762941,-3.80694664916465,-5.25242035665814,-3.80577875150503,-3.89328776313607
-8.45886407779263,-7.90054945376641,-5.77637420914431,-8.79970167884445,-9.31744139610864,-8.05742681153161
-11.916373088365,-10.0594967414728,-10.9875745475255,-11.1951410922146,-12.999059440945,-8.28017100024758
-4.94293402743515,-5.33114276174989,-6.08562496524834,-7.03729170604146,-7.0743358543604,-6.44557686715191
-5.81863274809433,-5.18839027114558,-3.89177211318518,-3.35598141213562,-5.94240161392379,-5.66218517985688
-4.3897928751127,-4.18411956779816,-4.71643527315,-2.8223611049174,-4.74177516979428,-4.65436794812059
-7.93669447886782,-7.24792244703615,-9.06045025669528,-7.72320471894624,-10.1613198371769,-12.5110031048544
-5.81260599100383,-4.92227089731783,-3.95578179071743,-4.61076449463259,-4.33354255246352,-5.04920419654267
-4.58977864892075,-5.39365490879721,-4.57220837639901,-4.47985191628186,-4.4216002506801,-4.25679087937686
-4.42688724864544,-3.56934984319172,-3.95243841977931,-4.41286547032531,-4.58101378700963,-4.43350557972322
-6.76080039041507,-6.68455183527145,-5.93917613746525,-7.52603669905743,-6.67959355771679,-6.19086643029953
-2.955227773143,-4.85562831001344,-3.7062349280352,-4.51673254027157,-4.53516742579542,-3.9631444940108
-4.83318433007137,-4.11415288582044,-4.34699376851303,-5.3192289707405,-5.06672178343491,-4.26598247129548
-6.49414175366303,-8.5130773312698,-6.87445639550809,-7.08959726245425,-8.1363664099049,-7.50105718535359
-4.68094883350731,-11.5624581709534,-5.59716825731844,-4.93363440592457,-11.5197830080539,-7.48158556092578
-7.43737710902076,-5.58091711781291,-8.90096107675374,-7.14841893700265,-5.17816958216772,-5.39490039369641
-5.85134868731485,-5.20016089347097,-4.75200105930235,-5.9368002245575,-5.59040094875568,-4.61006116093305
-4.12374815628329,-4.50103284418552,-5.22486205355113,-4.47515383007154,-4.53735381092278,-5.21696518736854
-8.95653455306227,-10.7906498239532,-11.8756060860019,-8.58921400803446,-10.473729748535,-8.10119096588628
-5.4356892898902,-9.1584690015511,-6.89183493783658,-6.45707275156086,-8.15853824690438,-8.15357262980653
-6.7106282884569,-4.13577977302156,-4.28734688939456,-6.51573694466916,-4.6367466880534,-4.22507669736607
-4.69513847784453,-6.10177968830111,-4.49649011892892,-3.80574417882794,-5.58302182203603,-5.57845707001115
-7.94350560531936,-9.62614645658044,-8.19556656697382,-9.86979914210776,-8.30474293591342,-8.504454517931
-6.72865405151573,-8.43925568497117,-6.79605315645033,-6.3180740517064,-6.92871377642552,-6.31632872582306
-11.0068412276272,-11.5994269482387,-12.7810556624016,-7.14386057937125,-12.7124409517737,-8.66719467746145
